bin_s,comparison,mean_a,mean_b,mean_diff,method,n_a,n_b,pvalue,unit_key_a,unit_key_b
0.2,stand_vs_walk,4.816360601001669,5.843071786310517,-1.026711185308848,mannwhitney_u,599,599,6.029189579074553e-10,SPK20a,SPK20a
0.2,ohad_vs_sagi,4.073455759599332,4.015025041736227,0.0584307178631045,mannwhitney_u,599,599,0.7369074507977892,SPK01c,SPK01a
